"id";"ip_neighbor";"neighbor";"red";"name_switch";"ip_switch";"interface"
"1";"10.224.126.89";"bgp";"it";"SW CORE ADMIN";"10.224.127.1";"N/A"
"2";"10.226.13.3";"bgp";"it";"SW CORE ADMIN";"10.224.127.1";"N/A"
"3";"10.224.125.46";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Te2/6"
"4";"10.224.126.82";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Vl2408"
"5";"10.224.126.74";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Vl2406"
"6";"10.224.126.34";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Te1/9"
"7";"10.224.126.26";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Te1/8"
"8";"10.224.126.18";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Te1/7"
"9";"10.224.125.154";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Te2/1"
"10";"10.224.125.3";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Vl2401"
"12";"10.224.125.174";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Te1/10"
"13";"10.224.126.10";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Te1/6"
"14";"10.224.125.42";"eigrp";"it";"SW CORE ADMIN";"10.224.127.1";"Vl2420"
"15";"10.224.125.4";"ospf";"it";"SW CORE ADMIN";"10.224.127.1";"Vlan2401"
"16";"10.224.125.3";"ospf";"it";"SW CORE ADMIN";"10.224.127.1";"Vlan2401"
"17";"10.224.126.93";"bgp";"it";"SW CORE CONCE";"10.224.127.2";"N/A"
"18";"10.226.13.17";"bgp";"it";"SW CORE CONCE";"10.224.127.2";"N/A"
"19";"10.224.126.78";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Vl2407"
"20";"10.224.126.86";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Vl2409"
"21";"10.224.125.162";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Te1/28"
"22";"10.224.126.38";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Te2/1"
"23";"10.224.126.30";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Te1/10"
"24";"10.224.125.2";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Vl2401"
"25";"10.224.126.14";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Te1/6"
"27";"10.224.126.6";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Te1/3"
"28";"10.224.125.4";"ospf";"it";"SW CORE CONCE";"10.224.127.2";"Vlan2401"
"29";"10.224.125.2";"ospf";"it";"SW CORE CONCE";"10.224.127.2";"Vlan2401"
"30";"10.224.126.97";"bgp";"it";"SW CORE OJOS";"10.230.127.1";"N/A"
"31";"10.224.125.41";"eigrp";"it";"SW CORE OJOS";"10.230.127.1";"Vl2420"
"32";"10.230.125.2";"eigrp";"it";"SW CORE OJOS";"10.230.127.1";"Gi1/0/7"
"33";"10.224.125.161";"eigrp";"it";"SW CORE OJOS";"10.230.127.1";"Gi1/0/8"
"34";"10.224.178.3";"eigrp";"it";"SW DIST ADM";"10.224.127.3";"Vl1178"
"35";"10.224.125.153";"eigrp";"it";"SW DIST ADM";"10.224.127.3";"Te1/7"
"36";"10.224.126.5";"eigrp";"it";"SW DIST ADM";"10.224.127.3";"Te2/3"
"37";"10.225.125.2";"eigrp";"it";"SW DIST CONC";"10.224.127.4";"Vl3125"
"38";"10.224.125.210";"eigrp";"it";"SW DIST CONC";"10.224.127.4";"Vl700"
"39";"10.224.126.9";"eigrp";"it";"SW DIST CONC";"10.224.127.4";"Te1/2"
"40";"10.224.126.13";"eigrp";"it";"SW DIST CONC";"10.224.127.4";"Te1/1"
"41";"10.226.13.2";"bgp";"it";"CORE ADMIN DNA";"10.224.127.160";"N/A"
"42";"10.226.13.18";"bgp";"it";"CORE CONCE DNA";"10.224.127.161";"N/A"
"43";"10.224.126.25";"eigrp";"it";"SW DIST OPERACIONES";"10.224.127.6";"Te1/1"
"44";"10.224.126.29";"eigrp";"it";"SW DIST OPERACIONES";"10.224.127.6";"Te1/2"
"45";"10.224.126.37";"eigrp";"it";"SW DIST TRUCKSHOP";"10.224.127.7";"Te1/2"
"46";"10.224.126.33";"eigrp";"it";"SW DIST TRUCKSHOP";"10.224.127.7";"Te1/1"
"47";"10.230.125.10";"eigrp";"it";"SW DIST SANTOS";"10.230.127.3";"Gi1/0/2"
"48";"10.230.125.1";"eigrp";"it";"SW DIST SANTOS";"10.230.127.3";"Gi1/0/3"
"49";"172.31.250.30";"eigrp";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vl1110"
"50";"10.224.126.102";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan3020"
"51";"10.224.126.58";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan901"
"52";"10.228.254.2";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2040"
"53";"10.228.254.12";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2040"
"54";"10.228.254.173";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2035"
"55";"10.228.254.172";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2035"
"56";"10.224.126.49";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan600"
"57";"10.224.126.50";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan600"
"58";"10.228.254.61";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2043"
"59";"10.228.254.60";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2043"
"60";"10.228.254.93";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2045"
"61";"10.228.254.92";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2045"
"62";"10.228.254.82";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2045"
"63";"10.228.254.77";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2044"
"64";"10.228.254.76";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2044"
"65";"10.228.254.66";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2044"
"66";"10.228.254.45";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2042"
"67";"10.228.254.44";"ospf";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vlan2042"
"68";"10.123.250.6";"eigrp";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vl1103"
"69";"172.31.250.2";"eigrp";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vl1100"
"70";"10.224.126.66";"eigrp";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Te1/6"
"71";"172.31.250.18";"eigrp";"ot";"SW-CORE-OT-ADMIN";"10.224.127.147";"Vl1107"
"72";"172.31.250.26";"eigrp";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vl1109"
"73";"10.224.126.62";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan900"
"74";"10.228.254.1";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2040"
"75";"10.228.254.13";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2040"
"76";"10.228.254.12";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2040"
"77";"10.228.254.173";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2035"
"78";"10.228.254.172";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2035"
"79";"10.224.126.49";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan600"
"80";"10.224.126.51";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan600"
"81";"10.228.254.61";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2043"
"82";"10.228.254.60";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2043"
"83";"10.228.254.93";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2045"
"84";"10.228.254.92";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2045"
"85";"10.228.254.81";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2045"
"86";"10.228.254.77";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2044"
"87";"10.228.254.76";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2044"
"88";"10.228.254.65";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2044"
"89";"10.228.254.45";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2042"
"90";"10.228.254.44";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2042"
"91";"10.228.254.33";"ospf";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vlan2042"
"92";"10.123.250.2";"eigrp";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vl1104"
"93";"172.31.250.6";"eigrp";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vl1101"
"94";"10.224.126.70";"eigrp";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Te1/11"
"95";"172.31.250.14";"eigrp";"ot";"SW-CORE-OT-CONCE";"10.224.127.148";"Vl1106"
"96";"10.224.125.106";"eigrp";"it";"SW CORE CONCE";"10.224.127.2";"Te2/2"
