21337,accqa.candelaria.cl,Certificados Candelaria,Up,18371,Ping,61 msec
21338,Certificado VPN Fortigate Conc,Certificados Candelaria,Up,15977,SSL Certificate,127 #
21339,Certificado VPN Fortigate Adm,Certificados Candelaria,Up,15975,SSL Certificate,129 #
21340,Certificado VPN Fortigate Ojos,Certificados Candelaria,Up,15979,SSL Certificate,135 #
21341,acc.candelaria.cl,Certificados Candelaria,Up,17890,SSL Certificate,151 #
21342,Certificado ISE01 - Admin Role,Certificados Candelaria,Up,15963,SSL Certificate,203 #
21343,Certificado ISE02 - Admin Role,Certificados Candelaria,Up,15967,SSL Certificate,203 #
21344,Certificado ISE03 - Admin Role,Certificados Candelaria,Up,15971,SSL Certificate,203 #
21345,Certificado CUCM - PUB,Certificados Candelaria,Up,15981,SSL Certificate,203 #
21346,Certificado Contact Center,Certificados Candelaria,Up,15983,SSL Certificate,203 #
21347,Certificado Expressway-C,Certificados Candelaria,Up,17331,SSL Certificate,203 #
21348,Certificado Expressway-E,Certificados Candelaria,Up,17333,SSL Certificate,203 #
21349,BeyondTrust - prachile.lundinmining.com,Certificados Candelaria,Up,15961,SSL Certificate,266 #
21350,prachile.lundinmining.com,Certificados Candelaria,Up,17422,SSL Certificate,266 #
21351,Certificado ISE01 - Guest Portal,Certificados Candelaria,Up,15965,SSL Certificate,312 #
21352,Certificado ISE02 - Guest Portal,Certificados Candelaria,Up,15969,SSL Certificate,312 #
21353,Certificado ISE03 - Guest Portal,Certificados Candelaria,Up,15973,SSL Certificate,312 #
21354,accqa.candelaria.cl,Certificados Candelaria,Up,17888,SSL Certificate,368 #
21355,ISE01,Servidores ISE y PRIME,Up,18018,Ping,0 msec
21356,ISE02,Servidores ISE y PRIME,Up,18026,Ping,0 msec
21357,ISE03,Servidores ISE y PRIME,Up,18041,Servicio Web,1 msec
21358,Cisco Prime IT,Servidores ISE y PRIME,Up,18043,Ping,0 msec
21359,Cisco Prime OT - Virtual IP,Servidores ISE y PRIME,Up,18045,Ping,0 msec
21360,Cisco Prime OT - Virtual IP,Servidores ISE y PRIME,Up,18051,Servicio Web,0 msec
21361,Cisco Prime OT - Admin,Servidores ISE y PRIME,Up,18047,Ping,0 msec
21362,Cisco Prime OT - Conce,Servidores ISE y PRIME,Up,18049,Ping,0 msec
21363,ISE03,Servidores ISE y PRIME,Up,18025,Ping,0 msec
21364,ISE01,Servidores ISE y PRIME,Up,18039,Servicio Web,1 msec
21365,Cisco Prime IT,Servidores ISE y PRIME,Up,18050,Servicio Web,0 msec
21366,ISE02,Servidores ISE y PRIME,Up,18040,Servicio Web,0 msec
21367,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8683,PING 61,0 msec
21368,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8698,PING 62,0 msec
21369,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8700,PING 63,0 msec
21370,10.224.116.80 (CUC-SUB),Telefonia IP,Up,17980,Ping,0 msec
21371,10.224.116.41 (UCCX01),Telefonia IP,Up,17985,Ping,0 msec
21372,VOICE-GW-CONCE,Telefonia IP,Up,17961,Ping,0 msec
21373,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17965,Ping,0 msec
21374,VOICE-GW-ADMIN,Telefonia IP,Up,17959,Ping,0 msec
21375,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8689,Disk Free: /common,5 %
21376,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,17956,HTTP,87 msec
21377,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,17955,HTTP,14 msec
21378,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8710,Disk Free: /,9 %
21379,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8720,Disk Free: /,9 %
21380,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8687,Disk Free: /,9 %
21381,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,17957,HTTP,10 msec
21382,10.224.116.41 (UCCX01),Telefonia IP,Up,17994,CPU Load,24 %
21383,10.224.116.41 (UCCX01),Telefonia IP,Up,17990,Disk Free: /,18 %
21384,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17973,CPU Load,20 %
21385,10.224.116.41 (UCCX01),Telefonia IP,Up,17999,HTTP,16 msec
21386,10.224.116.41 (UCCX01),Telefonia IP,Up,17995,Memory: Physical RAM,24 %
21387,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8725,Memory: Physical RAM,28 %
21388,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17978,HTTPS,29 msec
21389,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8715,Memory: Physical RAM,31 %
21390,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8692,Memory: Physical RAM,33 %
21391,10.224.116.80 (CUC-SUB),Telefonia IP,Up,17983,HTTPS,31 msec
21392,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18010,CPU Load,36 %
21393,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17974,Memory: Physical RAM,37 %
21394,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17972,Disk Free: /common,39 %
21395,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18008,Disk Free: /common,40 %
21396,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8691,CPU Load 31,41 %
21397,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8714,CPU Load 32,64 %
21398,10.224.116.41 (UCCX01),Telefonia IP,Up,17992,Disk Free: /common,47 %
21399,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18011,Memory: Physical RAM,53 %
21400,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8712,Disk Free: /common,56 %
21401,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17971,Disk Free: /grub,57 %
21402,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18009,Disk Free: /grub,57 %
21403,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8722,Disk Free: /common,59 %
21404,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18006,Disk Free: /,61 %
21405,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17969,Disk Free: /,61 %
21406,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18007,Disk Free: /partB,67 %
21407,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17970,Disk Free: /partB,68 %
21408,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8724,CPU Load 33,56 %
21409,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8690,Disk Free: /grub,96 %
21410,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8713,Disk Free: /grub,96 %
21411,10.224.116.41 (UCCX01),Telefonia IP,Up,17993,Disk Free: /grub,96 %
21412,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8723,Disk Free: /grub,96 %
21413,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8688,Disk Free: /partB,>99 %
21414,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8711,Disk Free: /partB,>99 %
21415,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8721,Disk Free: /partB,>99 %
21416,10.224.116.41 (UCCX01),Telefonia IP,Up,17991,Disk Free: /partB,>99 %
21417,10.224.116.41 (UCCX01),Telefonia IP,Up,17987,(001) eth0 Traffic,42 kbit/s
21418,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18004,(001) eth0 Traffic,92 kbit/s
21419,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17967,(001) eth0 Traffic,102 kbit/s
21420,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8719,(002) eth0,109 kbit/s
21421,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8709,(002) eth0,268 kbit/s
21422,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8686,(002) eth0,195 kbit/s
21423,10.224.116.80 (CUC-SUB),Telefonia IP,Up,18003,Uptime,65 d
21424,10.224.116.15 (CUC-PUB),Telefonia IP,Up,17966,Uptime,65 d
21425,10.224.116.10 (CCUM-PUB),Telefonia IP,Up,8684,Uptime 160,72 d
21426,10.224.116.75 (CCUM-SUB2),Telefonia IP,Up,8717,Uptime 162,77 d
21427,10.224.116.11 (CCUM-SUB1),Telefonia IP,Up,8707,Uptime 161,77 d
21428,10.224.116.41 (UCCX01),Telefonia IP,Up,17986,Uptime,177 d
21429,WLC 9800 MESH,Controladoras Inalambricas,Paused  (paused),18059,Estado HA,-
21430,WLC 9800 MESH,Controladoras Inalambricas,Up,14065,Ping,0 msec
21431,WLC 9800 NEGOCIO,Controladoras Inalambricas,Up,17453,Ping,0 msec
21432,WLC 9800 NEGOCIO,Controladoras Inalambricas,Up,18058,Estado HA,1 #
21433,WLC 9800 MESH,Controladoras Inalambricas,Up,18054,System Health CPU,32 %
21434,WLC 9800 NEGOCIO,Controladoras Inalambricas,Up,18366,System Health CPU,43 %
21435,WLC 9800 MESH,Controladoras Inalambricas,Up,18056,Cantidad de AP registrados,43 #
21436,WLC 9800 NEGOCIO,Controladoras Inalambricas,Up,17456,Cantidad de AP registrados,114 #
21437,WLC 9800 MESH,Controladoras Inalambricas,Up,18057,SNMP System Uptime,7 d 11 h
21438,WLC 9800 NEGOCIO,Controladoras Inalambricas,Up,17458,SNMP System Uptime,104 d
21439,WLC 9800 NEGOCIO,Controladoras Inalambricas,Up,17455,System Health Memory,3.534 MB
21440,WLC 9800 MESH,Controladoras Inalambricas,Up,18055,System Health Memory,11.741 MB
21441,PCORE ADM,LTE CORE,Up,14637,Ping PCORE ADM,0 msec
21442,PCORE ADM,LTE CORE,Up,14680,EPC ADM Status,0 #/s
21443,PCORE CONC,LTE CORE,Up,14640,Ping PCORE CONC,0 msec
21444,IMS,LTE CORE,Up,14642,Ping IMS,0 msec
21445,IMS,LTE CORE,Up,14684,IMS Status,0 #/s
21446,HSS,LTE CORE,Up,14644,Ping HSS,0 msec
21447,RADIUS,LTE CORE,Up,14646,Ping RADIUS,0 msec
21448,CLCAN-C9300-01-LTE_ADM,LTE CORE,Up,14651,Ping CLCAN-C9300-01-LTE_ADM,0 msec
21449,CLCAN-IE5000-02-LTE_C.SUR,LTE CORE,Up,14654,Ping CLCAN-IE5000-02-LTE_C.SUR,1 msec
21450,BBU_1-SUP_ADM,LTE CORE,Up,14656,Ping BBU_1-SUP_ADM,0 msec
21451,BBU_2-SUP_CONC,LTE CORE,Up,14660,Ping Device BBU_2-SUP_CONC,0 msec
21452,BBU_4-UG_CSUR,LTE CORE,Up,14662,Ping BBU_4-UG_CSUR,0 msec
21453,LTEVM01 - 10.228.5.60,LTE CORE,Up,18336,Ping,0 msec
21454,LTEVM02 - 10.228.5.61,LTE CORE,Up,18341,Ping,0 msec
21455,BBU_1-SUP_ADM,LTE CORE,Up,14679,BBU Status,0,02 #/s
21456,BBU_2-SUP_CONC,LTE CORE,Up,14682,BBU 2 Status,0,02 #/s
21457,BBU_3-UG_CSUR,LTE CORE,Up,14683,BBU 3 Status,0,02 #/s
21458,CLCAN-C9300-02-LTE_CONC,LTE CORE,Up,14652,Ping CLCAN-C9300-02-LTE_CONC,0 msec
21459,BBU_3-UG_CSUR,LTE CORE,Up,14661,Ping BBU_3-UG_CSUR,0 msec
21460,LTEVM02 - 10.228.5.61,LTE CORE,Up,18361,CLCAN-LTE-MANAGEMENT-02,0,33 %
21461,LTEVM02 - 10.228.5.61,LTE CORE,Up,18358,036v001890u1,0,58 %
21462,BBU_5-UG_CIVICO_CN,LTE CORE,Up,14956,Ping BBU_5-UG_CIVICO_CN,1 msec
21463,BBU_6-UG_CIVICO_CN,LTE CORE,Up,14958,Ping BBU_6-UG_CIVICO_CN,1 msec
21464,CLCAN-IE4000-01-CIVICO-CNORTE,LTE CORE,Up,14960,Ping CLCAN-IE4000-01-CIVICO-CNORTE,0 msec
21465,CLCAN-IE4000-02-CIVICO-CNORTE,LTE CORE,Up,14962,Ping CLCAN-IE4000-02-CIVICO-CNORTE,1 msec
21466,CLCAN-IE5000-01-LTE_C.SUR,LTE CORE,Up,14653,Ping CLCAN-IE5000-01-LTE_C.SUR,1 msec
21467,LTEVM01 - 10.228.5.60,LTE CORE,Up,18348,036v001890u0,1,51 %
21468,LTEVM01 - 10.228.5.60,LTE CORE,Up,18351,CLCAN-LTE-MANAGEMENT-01,0,92 %
21469,LTEVM02 - 10.228.5.61,LTE CORE,Up,18360,036z001890y1,2,73 %
21470,LTEVM02 - 10.228.5.61,LTE CORE,Up,18362,CLCAN-LTE-SERVICES-02,2,86 %
21471,LTEVM01 - 10.228.5.60,LTE CORE,Up,18352,CLCAN-LTE-SERVICES-01,3,09 %
21472,LTEVM02 - 10.228.5.61,LTE CORE,Up,18354,clcan-lte-esxi-02.eco-tel.co [Host Performance],3,88 %
21473,LTEVM01 - 10.228.5.60,LTE CORE,Up,18344,clcan-lte-esxi-01.eco-tel.co [Host Performance],6,25 %
21474,LTEVM02 - 10.228.5.61,LTE CORE,Up,18353,HTTPS,8 msec
21475,LTEVM01 - 10.228.5.60,LTE CORE,Up,18350,036z001890y0,8,78 %
21476,LTEVM01 - 10.228.5.60,LTE CORE,Up,18339,HTTPS,8 msec
21477,LTEVM01 - 10.228.5.60,LTE CORE,Up,18349,036z001888y0,11,26 %
21478,LTEVM02 - 10.228.5.61,LTE CORE,Up,18359,036z001889y0,11,4 %
21479,LTEVM01 - 10.228.5.60,LTE CORE,Up,18346,Datastore Free: BOOT_NVME,97,642 %
21480,LTEVM02 - 10.228.5.61,LTE CORE,Up,18356,Datastore Free: BOOT_NVME,97,642 %
21481,LTEVM02 - 10.228.5.61,LTE CORE,Up,18357,Datastore Free: RAID6,98,779 %
21482,LTEVM01 - 10.228.5.60,LTE CORE,Up,18347,Datastore Free: RAID6,98,847 %
21483,LTEVM01 - 10.228.5.60,LTE CORE,Warning,18345,clcan-lte-esxi-01.eco-tel.co [Hardware Status],143 #
21484,LTEVM02 - 10.228.5.61,LTE CORE,Warning,18355,clcan-lte-esxi-02.eco-tel.co [Hardware Status],143 #
21485,LTEVM01 - 10.228.5.60,LTE CORE,Warning,18338,SSL Certificate Sensor (Port 443),3.041 #
21486,LTEVM02 - 10.228.5.61,LTE CORE,Warning,18343,SSL Certificate Sensor (Port 443),3.041 #
21487,LTEVM01 - 10.228.5.60,LTE CORE,Up,18337,SSL Security Check (Port 443),Only Strong Protocols Available
21488,LTEVM02 - 10.228.5.61,LTE CORE,Up,18342,SSL Security Check (Port 443),Only Strong Protocols Available
21489,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17175,Ping CLCANASMSOT01,0 msec
21490,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18113,Ping,0 msec
21491,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18100,Ping,0 msec
21492,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18109,CPU Load,0 %
21493,CLCANASMCCIT01 - 10.225.30.6,CCTV,Up,18127,Ping,0 msec
21494,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18139,Ping,0 msec
21495,CLOJOSASMCCOT01 - 10.225.30.23,CCTV,Up,18160,Ping,0 msec
21496,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18187,Ping,0 msec
21497,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18196,CPU Load,0 %
21498,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18201,Ping,0 msec
21499,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18214,Ping,0 msec
21500,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18223,CPU Load,0 %
21501,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18227,Ping,0 msec
21502,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18240,Ping,0 msec
21503,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18249,CPU Load,0 %
21504,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18154,Ping,0 msec
21505,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18147,CPU Load,2 %
21506,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18163,CPU Load,2 %
21507,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18236,CPU Load,1 %
21508,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17185,CPU Load,2 %
21509,CLOJOSASMCCOT01 - 10.225.30.23,CCTV,Up,18171,CPU Load,1 %
21510,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18210,CPU Load,2 %
21511,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18122,CPU Load,5 %
21512,CLCANASMCCIT01 - 10.225.30.6,CCTV,Up,18135,CPU Load,9 %
21513,CLCANASMSIT01 - 10.225.0.250,CCTV,Up,18121,Disk Free: F:\ Label:Media Disk Antiguo 4 TB  Serial Number ac60d58b,10 %
21514,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18235,Disk Free: F:\ Label:Medio Disk Antiguo 6 TB  Serial Number 365984fc,10 %
21515,CLOJOSASMSOT01 - 10.231.10.250,CCTV,Up,18234,Disk Free: E:\ Label:Media Disk Nuevo 16 TB  Serial Number 96d757a6,10 %
